KOI,Dur,Depth,SNR,t0,t0_unc,Period,P_unc,a/R*,a/R*_unc,r/R*,r/R*_unc,b,b_unc,Rp,a,Teq,EB prob,V,FOP,N,Ground,Aboard,Fatalities,Year,Aboard3
766.01,3.1048,1334,63,102.7521,0.0016,4.125488,0.000042,10.66653,0.00011,0.035,0.073,0.0065,-,3.8,0.052,1144,3.00E-05,2,,,0,24,24,1944,24
767.01,2.6063,16217,915,103.96676,0.00009,2.8165077,0.0000018,7.05,0.18,0.12849,0.00076,0.68,0.14,14.2,0.039,1221,1.60E-05,2,NoObs,,,,,1944,
769.01,2.8675,634,31,104.8993,0.0027,4.280889,0.000079,11.636,0.1,0.02389,0.0005,0.019,-,2,0.051,946,4.30E-05,2,,,0,30,25,1944,30
771.01,48.1018,17923,236,142.0388,0.0035,10389,133,1855,24,0.12445,-,-,-,15,9.514,84,NaN,2,,,0,16,16,1944,16
772.01,5.5841,4023,30,106.8349,0.0042,61.2592,0.0032,53,17,0.0695,0.0044,0.84,0.36,8.2,0.313,482,1.20E-05,2,,,0,15,15,1944,15
773.01,5.5792,638,20,105.817,0.005,38.37813,0.00087,51.4,1.9,0.02311,0.00078,0.015,0.01,2.1,0.225,477,3.20E-05,3,,,0,10,10,1944,10
774.01,2.895,24627,359,102.9705,0.00031,7.442665,0.000016,27.75,0.11,0.14349,0.00043,0.0002,-,15.8,0.077,939,-,3,,1,0,3,3,1944,3
775.01,2.8272,880,13,105.724,0.0047,16.38523,0.0007,44.3,3.2,0.0285,0.0016,0.043,0.01,2.1,0.105,458,1.80E-05,2,NoObs,,0,17,9,1944,17
775.02,2.4216,1217,22,109.3746,0.0023,7.87761,0.00018,26.4,1.2,0.0332,0.0012,0.027,0.052,2.5,0.065,582,1.60E-05,2,NoObs,,0,5,5,1944,5
776.01,2.6154,4953,212,104.79264,0.00039,3.7287253,0.0000099,11.606493,0.000031,0.065,0.023,0.0007,-,4.3,0.046,852,2.00E-05,2,,,0,3,3,1944,3
777.01,2.9867,6360,29,106.5648,0.0031,40.41887,0.00089,52,16,0.3477,0.0036,1.56,0.47,36,0.23,471,1.20E-05,3,,,0,4,4,1945,4
778.01,1.1499,747,27,103.6798,0.0017,2.24334,0.000036,17.99,0.98,0.0279,0.001,0.01,0.042,1.9,0.027,857,1.80E-05,2,,,0,30,23,1945,30
779.01,6.4631,13641,377,110.19884,0.0006,10.405935,0.000066,13.752186,0.000088,0.109,0.021,-,-,12.8,0.095,821,1.60E-05,2,,,0,24,24,1945,24
780.01,1.9891,866,41,104.7599,0.0016,2.337466,0.000026,9.901,0.046,0.02856,0.00048,0.0496,-,2.2,0.032,995,3.80E-05,2,NoObs,,0,6,4,1945,6
781.01,2.5888,2897,44,113.3936,0.0018,11.59823,0.00015,39,113,0.05,0.029,0.2,2,4.3,0.083,521,3.00E-05,2,NoObs,,0,3,3,1945,3
782.01,4.3279,2699,107,106.63389,0.00093,6.57526,0.000045,12.201573,0.000083,0.048,0.093,0.0001,-,5.6,0.07,989,2.30E-05,2,,,0,11,11,1945,11
783.01,7.3311,2787,176,102.9929,0.001,7.27509,0.000053,7.987,0.034,0.04895,0.00019,0.029,0.017,3.5,0.072,707,2.70E-05,2,,,0,10,10,1945,10
784.01,2.9416,1148,20,119.7842,0.0044,19.2693,0.00059,47,256,0.032,0.033,0.5,2.5,2.3,0.117,429,3.30E-05,2,,,0,26,23,1945,26
785.01,3.3041,863,19,111.7494,0.0046,12.39325,0.00037,29.4,1.4,0.027,0.0011,0.042,0.01,2.1,0.103,620,4.00E-05,2,,,0,23,23,1945,23
786.01,2.3232,435,19,103.36,0.0035,3.689947,0.000087,13.82,0.62,0.02241,0.00076,0.0624,-,1.8,0.047,980,3.50E-05,3,,,0,24,24,1945,24
787.01,3.1631,950,39,104.0208,0.0025,4.431061,0.000075,11.1,0.27,0.02873,0.00055,0,0.03,2.9,0.054,1020,3.80E-05,2,,,0,11,11,1945,11
787.02,2.1124,401,12,66.8549,0.0064,5.68952,0.00015,21.8,1.5,0.0219,0.0012,0.0618,-,2.2,0.063,944,-,4,,,0,30,13,1945,30
788.01,3.328,1574,29,109.0511,0.0032,26.3953,0.00057,47,158,0.04,0.028,0.7,1.6,3.2,0.166,463,2.40E-05,2,,,0,22,17,1945,22
790.01,2.6555,913,23,107.1626,0.0039,8.47239,0.00023,25.1,1.1,0.02876,0.00094,0.02,0.01,1.4,0.076,551,3.80E-05,2,,,0,24,24,1945,24
791.01,4.9811,5794,181,113.89115,0.00077,12.611939,0.000069,20.757,0.099,0.07053,0.00028,0.0007,-,7.1,0.107,718,1.80E-05,2,,,0,3,3,1945,3
794.01,2.4001,369,22,102.6744,0.0036,2.539147,0.000061,8.98,0.35,0.02019,0.00063,0.0296,-,2.1,0.037,1296,1.00E-04,2,NoObs,,0,20,20,1945,20
795.01,1.8917,1318,31,103.5759,0.0022,6.77034,0.0001,29.7,1.2,0.03458,0.00099,0.02,0.042,2.4,0.069,733,8.60E-05,2,,,0,13,13,1945,13
797.01,2.9281,5617,111,110.1418,0.0011,10.18151,0.000069,21.8,6.5,0.07652,0.00073,0.49,0.15,7.7,0.094,791,5.90E-05,3,,,0,18,18,1945,18
799.01,1.6033,1406,70,102.81727,0.00087,1.6266615,0.0000097,5.6,1.7,0.03934,0.00063,0.57,0.17,4.5,0.027,1511,1.10E-04,3,,,0,25,25,1945,25
800.01,3.0081,886,38,103.0385,0.0023,2.711437,0.000043,7.37,0.17,0.02941,0.00053,0.0402,-,2.7,0.039,1224,9.40E-05,2,NoObs,,0,21,21,1945,21
800.02,3.9728,851,26,105.8128,0.0044,7.21227,0.00022,14,99,0.027,0.034,0.2,3.1,2.5,0.075,882,9.50E-05,2,NoObs,,0,31,31,1945,31
801.01,2.4077,7753,533,103.82617,0.00016,1.6255204,0.0000017,5.639292,0.000006,0.081,0.013,0.001,-,9.6,0.027,1525,6.40E-05,2,NoObs,,0,13,6,1945,13
802.01,2.2149,20618,264,114.88094,0.00028,19.620402,0.00004,83,15,0.1345,0.0049,0.26,0.49,7.3,0.139,464,4.60E-05,2,,,0,21,21,1945,21
804.01,3.1943,909,29,110.2,0.0033,9.02971,0.00022,16,56,0.031,0.021,0.7,1.6,3,0.083,735,9.30E-05,2,,,1,30,30,1945,30
805.01,7.8222,17128,430,107.58168,0.00069,10.327948,0.000074,11.377346,0.000082,0.1195,0.0095,0.0002,-,14.4,0.094,820,2.20E-05,3,,,0,31,31,1945,31
806.01,8.9776,9416,57,87.2386,0.0035,143.1814,0.0027,133,47,0.0933,0.0073,0.29,0.68,9,0.53,296,3.00E-05,2,NoObs,,0,23,20,1945,23
806.02,6.6246,18462,195,176.89513,0.00088,60.32875,0.00037,78.27,0.44,0.12509,0.00053,0.03,0.017,12.1,0.298,395,2.40E-05,2,NoObs,,0,21,21,1945,21
806.03,4.6342,1027,14,83.6924,0.0086,29.1654,0.0012,47.3,7,0.032,0.08,0.391,0.03,3.1,0.183,504,4.40E-05,2,NoObs,,0,3,3,1945,3
809.01,1.9942,15323,602,103.64747,0.00018,1.5947453,0.0000027,7.145002,0.000012,0.114,0.065,0.0001,-,12.2,0.027,1512,2.20E-05,2,,,0,11,2,1945,11
810.01,2.3449,944,41,103.51,0.0018,4.782942,0.000062,14,45,0.03,0.022,0.5,1.8,2.7,0.054,859,4.20E-05,2,,,0,27,27,1945,27
811.01,4.2008,2090,48,114.4316,0.0021,20.50617,0.00032,39.8,0.74,0.04186,0.0006,0.031,0.041,4.3,0.141,544,4.30E-05,2,,,36,2,2,1945,2
812.01,1.8467,1620,43,104.9773,0.0015,3.34024,0.000035,13,50,0.039,0.028,0.5,2.1,2.5,0.036,720,4.30E-05,2,,,0,15,15,1945,15
812.02,3.2972,1374,21,80.4576,0.0054,20.06086,0.00047,50.3,2.2,0.0352,0.0011,0.031,0.064,2.2,0.118,398,-,4,,,0,28,28,1945,28
812.03,4.745,1356,14,98.2376,0.01,46.1851,0.0019,75.7,4.2,0.0341,0.0017,0.003,0.017,2.1,0.206,301,-,4,,,0,10,3,1945,10
813.01,2.274,8285,258,103.52731,0.0003,3.8959257,0.0000082,14.23,0.067,0.08461,0.00029,0.0009,-,6.5,0.048,902,8.10E-05,2,,,11,3,3,1945,3
814.01,5.1665,867,19,108.4529,0.005,22.367,0.00045,33,173,0.028,0.031,0.4,2.5,1.8,0.15,456,1.40E-04,2,,,0,12,12,1945,12
815.01,2.9262,4547,62,105.6313,0.0017,34.8442,0.00043,47,14,0.101,0.013,0.94,0.28,10.4,0.209,502,2.60E-05,2,,,0,14,4,1945,14
816.01,3.4728,2224,70,107.9981,0.0018,7.748017,0.000094,17.74,0.23,0.04406,0.00045,0.02,0.022,4.6,0.078,882,1.10E-04,2,,,0,16,16,1945,16
